"","Region","Year","PopTotal","GDPTotal","CarbonTotal","GDP","CO2","Tech"
"178"," China",1984,1159172.262,1803885905957.89,552380000,1556.18449914038,0.476529691149563,3.0621670593223
"179"," China",1985,1179573.382,1979468656742,599540000,1678.12252035202,0.50826850550278,3.02879259016297
"180"," China",1986,1201665.645,2130984082200.15,630029000,1773.35858028973,0.524296423569636,2.95651668758371
"181"," China",1987,1225179.33,2361976471252.09,672930000,1927.86183492999,0.549250206498342,2.84901229199492
"182"," China",1988,1249225.585,2548920376676.74,724345000,2040.40039467871,0.57983522647753,2.8417717816058
"183"," China",1989,1272585.224,2619168543114.58,737187000,2058.14785031213,0.579283010754178,2.81458404781915
"184"," China",1990,1294346.636,2737633849947.55,754636000,2115.0700854045,0.583024654301338,2.7565264069717
"185"," China",1991,1314227.509,2930191451002.09,793301000,2229.59223645508,0.603625319487967,2.70733504368358
"186"," China",1992,1332371.461,3194428186812.51,830849000,2397.55074340527,0.623586608029275,2.60093184573683
"187"," China",1993,1348825.376,3481326574965.5,891348000,2581.00613831089,0.660832762980284,2.56036881575476
"188"," China",1994,1363781.311,3813383122013.22,945852000,2796.1837365384,0.693551079172986,2.48034873427732
"189"," China",1995,1377416.225,4329326135099.85,1026791000,3143.07763806097,0.745447150515452,2.37171090363309
"190"," China",1996,1389687.511,4447562538259.26,1074584000,3200.40476945702,0.773255851761051,2.41611892077089
"191"," China",1997,1400603.913,4676953368190.18,1086644000,3339.24054101238,0.775839614550613,2.32340139927564
"192"," China",1998,1410485.068,4641994213623.87,1032335000,3291.06228696628,0.731900693896605,2.22390410778665
"193"," China",1999,1419754.187,4953719523263.99,1041123000,3489.13887250539,0.733312153281926,2.10169953125244
"194"," China",2000,1428749.317,5385130440245.13,1078902000,3769.12196994256,0.755137368860069,2.00348350327219
"195"," China",2001,1437597.156,5883399558882.3,1103629000,4092.52309266693,0.767690027344489,1.87583554194246
"196"," China",2002,1446328.341,6543067754992.88,1166656000,4523.91588376742,0.8066328833696,1.78304129452083
"197"," China",2003,1455064.21,7401475020063.01,1396411000,5086.69993337477,0.959690294354776,1.88666582838526
"198"," China",2004,1463908.504,7981570035812.93,1611782000,5452.23285062147,1.10101279936277,2.01937963679829
"199"," China",2005,1472937.381,8621171860864.95,1746072000,5853.04709628043,1.18543532299694,2.02533023141105
"200"," China",2006,1482210.77,9369823677604.19,1919492000,6321.51908976089,1.29501960102476,2.04858924356067
"201"," China",2007,1491746.399,9842386009657.72,2032951000,6597.89493459184,1.36279933463409,2.06550626850562
"202"," China",2008,1501510.995,10507998424023.6,2106146000,6998.2827025676,1.40268436728963,2.00432652824242
"203"," China",2009,1511435.899,11364996172437.5,2288995000,7519.33719448958,1.51445059728597,2.01407458944095
"204"," China",2010,1521449.976,12511737419011.1,2469776000,8223.56148172901,1.62330411052568,1.97396725753473
"205"," Eastern Europe",1960,99857.897,238957220540.953,133299000,2392.97269139318,1.3348869143519,5.57836250765876
"206"," Eastern Europe",1961,100798.314,254827450594.691,141589000,2528.09239046092,1.40467627266067,5.55626953334791
"207"," Eastern Europe",1962,101678.692,260185820141.829,150960000,2558.90211630407,1.48467684851808,5.8020071930788
"208"," Eastern Europe",1963,102515.906,278819997012.994,162174000,2719.77303710308,1.58193987965146,5.81644077675111
"209"," Eastern Europe",1964,103332.923,297722672692.887,173364000,2881.19859623914,1.67772279121534,5.82300294538979
"210"," Eastern Europe",1965,104147.749,309991206204.42,176186000,2976.45613257009,1.69169282765775,5.68358058143805
"211"," Eastern Europe",1966,104966.754,333180176739.607,179683000,3174.14956682005,1.71180867420174,5.39296790578358
"212"," Eastern Europe",1967,105790.144,346589523440.021,184676000,3276.19861676359,1.74568247113833,5.328378023866
"213"," Eastern Europe",1968,106622.155,359120209853.572,196329000,3368.15748897189,1.84135276575492,5.46694378687436
"214"," Eastern Europe",1969,107465.568,370809915805.343,209848000,3450.49975267746,1.95269986382987,5.65917984000621
"215"," Eastern Europe",1970,108322.446,386109669144.167,227542000,3564.44747512595,2.10059879925533,5.89319610939449
"216"," Eastern Europe",1971,109192.912,415681235410.606,236538000,3806.85181663262,2.16623950829336,5.69036992411626
"217"," Eastern Europe",1972,110077.784,438904889327.992,243032000,3987.22497291544,2.2078206080166,5.53723610534635
"218"," Eastern Europe",1973,110979.655,463802882452.83,253804000,4179.17033939987,2.28694169215069,5.47223852205818
"219"," Eastern Europe",1974,111901.248,489997257231.719,259853000,4378.83639360053,2.32216355620985,5.30315213330094
"220"," Eastern Europe",1975,112842.207,511449267257.115,275469000,4532.42878577442,2.4411876311494,5.38604740754309
"221"," Eastern Europe",1976,113804.09,527059682139.539,289889000,4631.28945664026,2.54726345951187,5.50011715605391
"222"," Eastern Europe",1977,114779.642,546062723267.341,299454000,4757.48759755969,2.60894697685152,5.48387551906548
"223"," Eastern Europe",1978,115748.574,568698665153.197,313794000,4913.22394307162,2.71099668147964,5.51775517031449
"224"," Eastern Europe",1979,116684.172,580532210718.061,317031000,4975.24386356412,2.71700089708825,5.46104064764751
"225"," Eastern Europe",1980,117566.35,578013111002.596,322550000,4916.48427464658,2.743557148793,5.58032324631044
"226"," Eastern Europe",1981,118380.275,571307965515.554,311284000,4826.0401955947,2.62952590708207,5.44861998762951
"227"," Eastern Europe",1982,119126.329,576192237013.865,313449000,4836.81686366635,2.63123192522788,5.44000734241856
"228"," Eastern Europe",1983,119817.648,581401055519.654,317915000,4852.38247640826,2.65332365729629,5.46808432805216
"229"," Eastern Europe",1984,120475.641,599924412260.191,321629000,4979.63245748733,2.66966000205801,5.36115872978523
"230"," Eastern Europe",1985,121112.059,599452177970.802,325355000,4949.56640090482,2.68639640582776,5.42753887560064
"231"," Eastern Europe",1986,121738.469,617134203024.609,331388000,5069.34421053553,2.72213050420406,5.36978826284216
"232"," Eastern Europe",1987,122339,612231985785.902,336746000,5004.38932626474,2.7525645951005,5.50030066736435
"233"," Eastern Europe",1988,122865.854,616633229273.043,328901000,5018.75182728183,2.67691135732471,5.3338189443301
"234"," Eastern Europe",1989,123254.462,609574991090.88,320697000,4945.66266567194,2.6019098602694,5.26099339190554
"235"," Eastern Europe",1990,123462.328,687107735347.136,278944000,5565.32301373044,2.25934505301083,4.05968359327338
"236"," Eastern Europe",1991,123470.236,543812107417.43,250833000,4404.39838000658,2.03152604324819,4.61249384812723
"237"," Eastern Europe",1992,123302.558,528455373383.301,237150000,4285.84274288374,1.92331776279937,4.4876069379654
"238"," Eastern Europe",1993,123014.495,577488475886.218,234043000,4694.47503634607,1.90256440917796,4.0527735144989
"239"," Eastern Europe",1994,122685.022,603498815872.425,221899000,4919.09123081402,1.80868859443983,3.67687548283289
"240"," Eastern Europe",1995,122373.047,637877414795.166,231288000,5212.56461641562,1.89002403445916,3.62590044161182
"241"," Eastern Europe",1996,122099.827,666899859260.302,238558000,5461.92304809983,1.9537947420679,3.57711876359666
"242"," Eastern Europe",1997,121854.947,686711198168.081,234997000,5635.48066840553,1.92849782290743,3.42206448106416
"243"," Eastern Europe",1998,121627.564,705497382144.676,225210000,5800.47284466435,1.85163619654505,3.19221595571869
"244"," Eastern Europe",1999,121395.117,717866799171.979,209921000,5913.47343214784,1.72923759363402,2.92423330124938
"245"," Eastern Europe",2000,121142.65,746165475781.539,209373000,6159.39535565335,1.72831781375098,2.80598616252918
"246"," Eastern Europe",2001,120869.695,767360294971.33,213180000,6348.65749409999,1.76371753068459,2.77809526238212
"247"," Eastern Europe",2002,120589.171,790243995782.938,210376000,6553.19204228494,1.74456792641853,2.6621651176428
"248"," Eastern Europe",2003,120314.476,822118199307.441,217473000,6833.07800224672,1.80753810538975,2.6452765573515
"249"," Eastern Europe",2004,120063.473,868813348723.384,218156000,7236.28366741801,1.81700557670858,2.5109651033856
"250"," Eastern Europe",2005,119848.388,909988051164.103,217453000,7592.82679016177,1.81440070766742,2.38962478377406
"251"," Eastern Europe",2006,119674.002,967211581576.795,225801000,8082.05262139387,1.88680077733174,2.33455641248514
"252"," Eastern Europe",2007,119535.043,1029002614407.1,224772000,8608.37615967645,1.88038582125243,2.18436762796284
"253"," Eastern Europe",2008,119421.031,1078648081302.29,221691000,9032.31258573116,1.85638156146885,2.05526717974916
"254"," Eastern Europe",2009,119316.36,1050365172305.9,202694000,8803.19490391678,1.69879470007298,1.92974791381382
"255"," Eastern Europe",2010,119208.91,1074789782171.18,210020000,9016.0188711664,1.76178106149951,1.95405653723038
"256"," Former Soviet Union",1960,214060.73,0,395047000,0,1.84549029614166,Inf
"257"," Former Soviet Union",1961,217561.317,0,407399000,0,1.87257094054087,Inf
"258"," Former Soviet Union",1962,221015.614,0,427584000,0,1.93463254591596,Inf
"259"," Former Soviet Union",1963,224360.657,0,458556000,0,2.04383427171012,Inf
"260"," Former Soviet Union",1964,227519.156,0,487675000,0,2.1434458907715,Inf
"261"," Former Soviet Union",1965,230440.577,0,517331000,0,2.24496487005411,Inf
"262"," Former Soviet Union",1966,233093.332,0,546330000,0,2.34382509062936,Inf
"263"," Former Soviet Union",1967,235502.362,0,571269000,0,2.42574637107037,Inf
"264"," Former Soviet Union",1968,237745.056,0,587319000,0,2.47037313785402,Inf
